Order_ID,Date,Year,Month,Quarter,Product,Category,Region,Channel,Units_Sold,Unit_Price,Revenue,COGS,Gross_Profit,Discount_Pct,Net_Revenue
1001,2022-01-08,2025,Jan,Q1,Dairy Milk,Mid-range,North India,Modern Trade,251,45,18459.78,8785,5598.35,0.11,10052.55
1002,2022-01-22,2025,Jan,Q1,Dairy Milk Silk,Premium,North India,General Trade,485,75,48908.62,25220,12652.75,0.11,32373.75
1003,2022-01-01,2025,Jan,Q1,5 Star,Value,North India,Modern Trade,1409,30,30693.87,30998,8308.58,0.06,39733.8
1004,2022-01-20,2023,Jan,Q1,Perk,Value,North India,Modern Trade,647,25,14001.92,11646,4447.19,0.03,15689.75
1005,2022-01-21,2023,Jan,Q1,Bournville,Premium,North India,Modern Trade,1349,90,166232.22,87685,31012.8,0.03,117767.7
1006,2022-01-09,2024,Jan,Q1,Gems,Value,North India,Institutional,651,20,13882.96,9114,4628.98,0.07,12108.6
1007,2022-01-23,2023,Jan,Q1,Celebrations Box,Premium,North India,Modern Trade,1754,250,382796.15,315720,93784.53,0.12,385880
1008,2022-01-07,2025,Jan,Q1,Oreo,Mid-range,North India,Institutional,896,40,41985.44,25088,12789.32,0.04,34406.4
1009,2022-01-04,2023,Jan,Q1,Fuse,Value,North India,E-Commerce,409,35,15634.67,9816,4274.22,0.01,14171.85
1010,2022-01-09,2024,Jan,Q1,Caramel,Mid-range,North India,E-Commerce,1935,55,108336.76,73530,36820.02,0.05,101103.75
1011,2022-01-04,2024,Jan,Q1,Dairy Milk,Mid-range,South India,Modern Trade,1694,45,109489.29,59290,29859.79,0.07,70893.9
1012,2022-01-27,2023,Jan,Q1,Dairy Milk Silk,Premium,South India,Institutional,361,75,42369.86,18772,9164.77,0.08,24909
1013,2022-01-03,2024,Jan,Q1,5 Star,Value,South India,E-Commerce,1382,30,28670.54,30404,6691.04,0.03,40216.2
1014,2022-01-10,2023,Jan,Q1,Perk,Value,South India,Modern Trade,1554,25,27488.94,27972,7784.91,0.03,37684.5
1015,2022-01-04,2025,Jan,Q1,Bournville,Premium,South India,Modern Trade,1951,90,236745.59,126815,49329.03,0.03,170322.3
